Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C7",0603,2,100nF,
"C2, C4, C6",0603,3,220pF,
"C3, C5",0603,2,10nF,
"D1, D2, D3, D4",LED_D5.0mm,4,LED,
"HEADPHONES1, HEADPHONES2",PJ-307,2,AudioJack3_SwitchTR,
J3,RPI_Hat_B+,1,LilyPi GPIO Header,
"R1, R11, R12, R16, R17, R18, R2, R3, R9",0603,9,10K,
"R10, R14",0603,2,6.8K,
"R13, R19",0603,2,220,
R15,0603,1,1.2M,
"R4, R5",0603,2,100K,
R6,0603,1,1M,
"R7, R8",0603,2,1K,
RV1,Potentiometer_Bourns_3296W_Vertical,1,10k,
RV2,Potentiometer_Bourns_3296W_Vertical,1,200k,
"U1, U2",SOIC-14_3.9x8.7mm_P1.27mm,2,TLC2274,
